url,comment
https://www.youtube.com/watch?v=BhSucJ1KDcU,Un sorry I can’t unsee this. mindless pretenders.
https://www.youtube.com/watch?v=BhSucJ1KDcU,i'm sorry but i can't see this
https://www.youtube.com/watch?v=BhSucJ1KDcU,i'm sorry i can't see
https://www.youtube.com/watch?v=BhSucJ1KDcU,i'm sorry i can't see it
https://www.youtube.com/watch?v=BhSucJ1KDcU,i'm sorry i can't see this
https://www.youtube.com/watch?v=BhSucJ1KDcU,i am sorry i can't see this
https://www.youtube.com/watch?v=BhSucJ1KDcU,i am sorry i can't see this mindless pretender
https://www.youtube.com/watch?v=yJoQj5-TIvE,i love pretending i understand these videos
https://www.youtube.com/watch?v=yJoQj5-TIvE,i love pretending i understand these movies
https://www.youtube.com/watch?v=yJoQj5-TIvE,i like pretending to understand these videos
https://www.youtube.com/watch?v=yJoQj5-TIvE,i love pretending to understand these videos
https://www.youtube.com/watch?v=2qWoegDcHMI,"As a beginner, all you need to do for starting is the bench press, overhead press, Pulldown, Squat and Deadlifts and your gains will be so much faster than the isolation machines. You gotta have a really good form for your own accord though, so spend the first month doing these with just the bar so you get accustomed to the proper movement. And don't go for 1 rep max from the beginning, you risk potential injuries even with proper form because you are weak at the start. 5 sets of 5 is the best. Your welcome"
https://www.youtube.com/watch?v=RKpIh5gI01w&ab_channel=JimmyKimmelLive,I hope all these woman end these relationships. Shows a complete lack of interest in who the woman are. Not a funny bit at all. Beyond depressing
https://www.youtube.com/watch?v=PA21Bok59rQ,"respect to the man, but the chinese have surely invaded the US"
https://www.youtube.com/watch?v=VEQaH4LruUo,"The dude looks like a lemon, excellent animation TED-X. Atleast do that properly"
https://www.youtube.com/watch?v=cjbgZwgdY7Q,Me: sneeze* Periods: ORAORAORAORA
https://www.youtube.com/watch?v=PEUuSm7gHHk,Dhoni be like: If you want to use your brain use it on dream 11 face with tears of joy 
https://www.youtube.com/watch?v=MgEMapBF09U,Need more women representation in there.
https://www.youtube.com/watch?v=MgEMapBF09U,we need more representation of women in this country
https://www.youtube.com/watch?v=MgEMapBF09U,we need more women
https://www.youtube.com/watch?v=MgEMapBF09U,we need more representation of women in the country
https://www.youtube.com/watch?v=MgEMapBF09U,we need more representation of women
https://www.youtube.com/watch?v=MgEMapBF09U,we need more women representation
https://www.youtube.com/watch?v=XvF-v5LaSSo,"I bet you're a Libra, huh?? Lol as a libra myself i, getting mad libra vibes off you lol"
https://www.youtube.com/watch?v=XvF-v5LaSSo,i bet you're libra huh?
https://www.youtube.com/watch?v=XvF-v5LaSSo,i bet you're a libra huh?
https://www.youtube.com/watch?v=XvF-v5LaSSo,i bet you're a libra right?
https://www.youtube.com/watch?v=T906mp5kYfM,Please help
https://www.youtube.com/watch?v=T906mp5kYfM,help me
https://www.youtube.com/watch?v=T906mp5kYfM,please help us
https://www.youtube.com/watch?v=T906mp5kYfM,please help me
https://www.youtube.com/watch?v=T906mp5kYfM,please help
https://www.youtube.com/watch?v=bs4U4_c-5A4,Does it work also for overweight people?
https://www.youtube.com/watch?v=bs4U4_c-5A4,what about overweight people?
https://www.youtube.com/watch?v=bs4U4_c-5A4,does it work for obese people?
https://www.youtube.com/watch?v=bs4U4_c-5A4,does it work for overweight people too?
