url,category,comment,hate_towards_whom,label
https://www.bitchute.com/video/U3GEUJSnmwCl/,news & politics,"well duuhh!!! Indians cant act,, Bollywood much???",Community (Indians),yes
https://www.bitchute.com/video/U3GEUJSnmwCl/,news & politics,"well duuhh!!! Indians cant act,, Bollywood much???",Community (Indians),yes
https://www.bitchute.com/video/U3GEUJSnmwCl/,news & politics,Tell us about the food restrictions going on and how they are destroying crops,"Location (India), Community (Indians)",yes
https://www.bitchute.com/video/U3GEUJSnmwCl/,news & politics,tell us about food restrictions and how they are destroying crops,"Location (India), Community (Indians)",yes
https://www.bitchute.com/video/U3GEUJSnmwCl/,news & politics,tell us about the food restrictions that are going on and how they are destroying crops,"Location (India), Community (Indians)",yes
https://www.bitchute.com/video/U3GEUJSnmwCl/,news & politics,tell us about the food restrictions going on and how they are destroying the crops,"Location (India), Community (Indians)",yes
https://www.bitchute.com/video/Zbjmylivs892/,fashion & beauty,This is what happens when a man wears a scarf,"Individual, Community (Transgender)",yes
https://www.bitchute.com/video/Zbjmylivs892/,fashion & beauty,it happens when a man wears a scarf,"Individual, Community (Transgender)",yes
https://www.bitchute.com/video/Zbjmylivs892/,fashion & beauty,this happens when a man wears a scarf,"Individual, Community (Transgender)",yes
https://www.bitchute.com/video/Zbjmylivs892/,fashion & beauty,Nice hairy chest? Freak,"Individual, Community (Transgender)",yes
https://www.bitchute.com/video/Zbjmylivs892/,fashion & beauty,nice hairy chest?,"Individual, Community (Transgender)",yes
https://www.bitchute.com/video/UNB7iw1M7Uco/,fashion & beauty,you cannot mix Wild Chimps into the general population,Community (Blacks),yes
https://www.bitchute.com/video/UNB7iw1M7Uco/,fashion & beauty,there is no way to mix wild chimps with the general population,Community (Blacks),yes
https://www.bitchute.com/video/UNB7iw1M7Uco/,fashion & beauty,there's no way to mix wild chimps with the general population,Community (Blacks),yes
https://www.bitchute.com/video/UNB7iw1M7Uco/,fashion & beauty,you can't mix wild chimps with the general population,Community (Blacks),yes
https://www.bitchute.com/video/UNB7iw1M7Uco/,fashion & beauty,keep white and black separate,Community (Blacks),yes
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,"She is probably the only female ""first lady"".",Community (First Ladies of US),yes
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,she's probably the only female first lady in history,Community (First Ladies of US),yes
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,she's probably the only female first lady,Community (First Ladies of US),yes
