url	comment	scores	type
https://www.youtube.com/watch?v=hYQhnatPnZQ	Taiwan is sovereign country	[0.06934881210327148, 0.8286163210868835, 0.10203476995229721]	NEWS & POLITICS
https://www.youtube.com/watch?v=hYQhnatPnZQ	First manage population ,then educate people in the north then provide them with better health care and most importantly build some toilets to norhties	[0.10514753311872482, 0.6076263189315796, 0.287226140499115]	NEWS & POLITICS
https://www.youtube.com/watch?v=hYQhnatPnZQ	In the last 65 years China gained 120 Trillion whilst lndia's Iost 45 Trillion according to Wion. Wion: At $514 trillion, China overtakes US in terms of amassing the biggest net worth Gravitas: How Britain Looted $45 Trillion From India	[0.23860104382038116, 0.6222538948059082, 0.13914503157138824]	NEWS & POLITICS
https://www.youtube.com/watch?v=hYQhnatPnZQ	IMF & WORLD BANK PREDICTED 2022 🇮🇳 INDIA'S GROWTH +9 to +12% 🇨🇳 China +6% (Surplus) 🇵🇰 Pakistan –1.5% (Deficit)	[0.007405100390315056, 0.6043791174888611, 0.3882157504558563]	NEWS & POLITICS
https://www.youtube.com/watch?v=hYQhnatPnZQ	I have uploaded a video about Hinduism	[0.02213067188858986, 0.922425389289856, 0.05544396489858627]	NEWS & POLITICS
https://www.youtube.com/watch?v=hYQhnatPnZQ	Check how Chinese are beating Pakistani	[0.2680816054344177, 0.7127516865730286, 0.019166775047779083]	NEWS & POLITICS
https://www.youtube.com/watch?v=59JYFW0PVBw	We believe in Lord Shiva the Destroyer living peacefully but when any one disturb then feel the Destroy. HAR HAR MAHADEV	[0.21404264867305756, 0.67059326171875, 0.11536402255296707]	NEWS & POLITICS
https://www.youtube.com/watch?v=59JYFW0PVBw	Wouldn't be surprised if the pilots and the ground crew break-up into a choreographed dance routine, ting ting ting ting with their heads bobbling sideways.	[0.3260863721370697, 0.6068060398101807, 0.06710771471261978]	NEWS & POLITICS
https://www.youtube.com/watch?v=59JYFW0PVBw	Pakistan F16 to Chinese J20 Hum to surrender kar diye app bhi ready Ho jaao Poor and 3 rd generation jets of Pakistan and China Can't fight 5th generation Rafael's	[0.3647487163543701, 0.5957956314086914, 0.03945573419332504]	NEWS & POLITICS
https://www.youtube.com/watch?v=59JYFW0PVBw	the Chinese are watching India's bases	[0.28134000301361084, 0.6984884142875671, 0.02017153799533844]	NEWS & POLITICS
https://www.youtube.com/watch?v=59JYFW0PVBw	India should buy 200 Rafales	[0.10505559295415878, 0.8175786733627319, 0.07736575603485107]	NEWS & POLITICS
