url	comment	scores	type
https://www.youtube.com/watch?v=hYQhnatPnZQ	If everyone works harder, diversify In different trades or money making activities and platforms it should be a good start from there. Honestly there should be a means of financial growth. That’s why I'm always excited everytime I see videos about financiaI growth. It just reminds me of my journey last year and how I made significant returns of over 5x in 8months just by making the right decision of finding an experienced lnvestment advisor . Goodluck to y'all out there trying to grow your money through investments	[0.0017319370526820421, 0.027788011357188225, 0.9704800248146057]	NEWS & POLITICS
https://www.youtube.com/watch?v=hYQhnatPnZQ	World's 3rd Largest Economy in Consumer Spending purchasing Capacity	[0.013974618166685104, 0.4177134037017822, 0.5683119297027588]	NEWS & POLITICS
https://www.youtube.com/watch?v=hYQhnatPnZQ	If everyone works harder, starts businesses, employs people India can easily maintain 9-10% growth target until our per capita gdp grows from 2000$ a year to 10-20k a year.	[0.013135991990566254, 0.2619669735431671, 0.7248969674110413]	NEWS & POLITICS
https://www.youtube.com/watch?v=hYQhnatPnZQ	India will be lucky to achieve 3% growth for 2023. Stagflation is coming soon.	[0.045079804956912994, 0.30565887689590454, 0.6492612957954407]	NEWS & POLITICS
https://www.youtube.com/watch?v=hYQhnatPnZQ	India will be superpower in 2022,jai hind 🇮🇳 jealous paxtani 👇	[0.008112523704767227, 0.24767839908599854, 0.7442091703414917]	NEWS & POLITICS
https://www.youtube.com/watch?v=59JYFW0PVBw	France has always been a trusted friend. Vive la France 🇫🇷❤️🇮🇳	[0.0030810642056167126, 0.0609290674328804, 0.9359898567199707]	NEWS & POLITICS
https://www.youtube.com/watch?v=59JYFW0PVBw	*🇨🇵❤🇮🇳 THANKS FRANCE , INDO=FRANCE RELATIONSHIP LONG LIVE , LONG LIVE.....🇨🇵🤝🇮🇳❤🇨🇵*	[0.0027594338171184063, 0.0453302375972271, 0.9519103169441223]	NEWS & POLITICS
https://www.youtube.com/watch?v=59JYFW0PVBw	India should agree for production of 114 Rafel aircraft indegenously with a assurance to assist in hastening production of Indian 5th generation aircraft HAL AMCA and repurchase of minimum numbers. This will be a win win situation as regards to the cost of production . We should induct both Rafel and AMCA 5th generation aircraft by 2016/2017.	[0.013915689662098885, 0.3572929799556732, 0.6287912726402283]	NEWS & POLITICS
https://www.youtube.com/watch?v=59JYFW0PVBw	French Defence Minister Florence Parly, welcome to India, have a nice time here.	[0.0018681896617636085, 0.03015354834496975, 0.9679783582687378]	NEWS & POLITICS
https://www.youtube.com/watch?v=59JYFW0PVBw	How about the F-35 or F-22? I bet India would like those.	[0.014235620386898518, 0.4343850910663605, 0.5513793230056763]	NEWS & POLITICS
