Unnamed: 0	id	url	comment
0	0	https://www.youtube.com/watch?v=hYQhnatPnZQ	Now rupees 74.6 = to 1$😭😭
1	1	https://www.youtube.com/watch?v=hYQhnatPnZQ	If everyone works harder, diversify In different trades or money making activities and platforms it should be a good start from there. Honestly there should be a means of financial growth. That’s why I'm always excited everytime I see videos about financiaI growth. It just reminds me of my journey last year and how I made significant returns of over 5x in 8months just by making the right decision of finding an experienced lnvestment advisor . Goodluck to y'all out there trying to grow your money through investments
2	2	https://www.youtube.com/watch?v=hYQhnatPnZQ	Why is that we can't see any black Indian as minister on TV
3	3	https://www.youtube.com/watch?v=hYQhnatPnZQ	i watched videos from india in the 1980s and 1990s about the economy, india was growing back then too at 8-9% problem is that it looked like it does today, because when you have a country that is stuck with stagflation for decades you dont actually grow. Numbers from india cant be real, and india wont grow like this, burocracy, trade barriers, investments barriers, lack of education from the people, cant grow.
4	4	https://www.youtube.com/watch?v=hYQhnatPnZQ	Taiwan is sovereign country
5	5	https://www.youtube.com/watch?v=hYQhnatPnZQ	wion need show indian soldiers how to raise both of hands quickly when facing soldiers from pakistan China nepal bangladesh and myanmar. the USA call them a string of pearls or a noose of gallows countries around india by the rest of the world. saving indian soldiers life is more important than territory gains, that is what indian soldier's family wanted, it cannot be wrong when indian decent family want it, hell bend to nibbling other country territory is wrong and dangerous, and put indian soldiers head into a noose of gallows is fatal.
6	6	https://www.youtube.com/watch?v=hYQhnatPnZQ	World's 3rd Largest Economy in Consumer Spending purchasing Capacity
7	7	https://www.youtube.com/watch?v=hYQhnatPnZQ	First manage population ,then educate people in the north then provide them with better health care and most importantly build some toilets to norhties
8	8	https://www.youtube.com/watch?v=hYQhnatPnZQ	lndian is so dociIe and submissive, 45 trillion of their wealth, treasure, national precious artifacts were looted and 1.8 billion of them were killed in the process. India holds 24% of the world economy and when the british were done it was reduced to less than 1%
9	9	https://www.youtube.com/watch?v=hYQhnatPnZQ	In the last 65 years China gained 120 Trillion whilst lndia's Iost 45 Trillion according to Wion. Wion: At $514 trillion, China overtakes US in terms of amassing the biggest net worth Gravitas: How Britain Looted $45 Trillion From India
10	10	https://www.youtube.com/watch?v=hYQhnatPnZQ	IMF & WORLD BANK PREDICTED 2022 🇮🇳 INDIA'S GROWTH +9 to +12% 🇨🇳 China +6% (Surplus) 🇵🇰 Pakistan –1.5% (Deficit)
11	11	https://www.youtube.com/watch?v=hYQhnatPnZQ	How Indian government will tackle youth disillusion😕😕
12	12	https://www.youtube.com/watch?v=hYQhnatPnZQ	If everyone works harder, starts businesses, employs people India can easily maintain 9-10% growth target until our per capita gdp grows from 2000$ a year to 10-20k a year.
13	13	https://www.youtube.com/watch?v=hYQhnatPnZQ	India will be lucky to achieve 3% growth for 2023. Stagflation is coming soon.
14	14	https://www.youtube.com/watch?v=hYQhnatPnZQ	India will be superpower in 2022,jai hind 🇮🇳 jealous paxtani 👇
15	15	https://www.youtube.com/watch?v=hYQhnatPnZQ	I have uploaded a video about Hinduism
16	16	https://www.youtube.com/watch?v=hYQhnatPnZQ	Check how Chinese are beating Pakistani
17	0	https://www.youtube.com/watch?v=0xMW3vvTBCc	free west Bangal Joy Bangla
18	1	https://www.youtube.com/watch?v=0xMW3vvTBCc	We love you Bangladesh We love you Sheikh Hassina and all peoples of Bangladesh Fr Philippines
19	2	https://www.youtube.com/watch?v=0xMW3vvTBCc	I felt happy To see a Strong Woman.. This is woman Empowerment🇧🇩👍 Happy Independence day✌️
20	3	https://www.youtube.com/watch?v=0xMW3vvTBCc	"Sidhant is an expert in all fields. Sidhant be like, ""Jack of all trades, master of none""."
21	4	https://www.youtube.com/watch?v=0xMW3vvTBCc	Welcome to our Country ❤️❤️ We are warmly welcoming you. A leader with extraordinary personality, who has extraordinary eloquence and true love for the people of his own country.Long live Bangladesh India Friendship 🇧🇩🇮🇳
22	5	https://www.youtube.com/watch?v=0xMW3vvTBCc	See today's butyl mukarram area news. Then you will know what types of welcome modi ji received
23	6	https://www.youtube.com/watch?v=0xMW3vvTBCc	Without India, Bangladesh may not have been existed, just saying historical facts, thanks
24	7	https://www.youtube.com/watch?v=0xMW3vvTBCc	*May be MUSULMANs Of Bangladesh intended to their ancient Dharma Sanatan Dharma Hinduism !!* *If the Muslims of Bangladesh come back to their heredity Dharma Sanatan Dharma, Bangladesh will be the first Country reconverted to Hinduism !* *At present lots of Islamic Mufti left Islam permanently and become Atheists who no longer practice Islam at all !!😍😄*
25	8	https://www.youtube.com/watch?v=0xMW3vvTBCc	Well, they shouldn't forget that India liberated Bangladesh.
26	9	https://www.youtube.com/watch?v=0xMW3vvTBCc	She is the one leader who is preventing Bangla desh slipping into an extremist, fanatic religious state. Wish her more strength to fight those extremists and fanatics. Long live Indo Bangla friendship.
27	10	https://www.youtube.com/watch?v=0xMW3vvTBCc	Bangladesh is Pakistan 🇵🇰
28	11	https://www.youtube.com/watch?v=0xMW3vvTBCc	People of Bangladesh protest on MODI arrival. Where is wion news of Benngali protested on MODI arrival.
29	12	https://www.youtube.com/watch?v=0xMW3vvTBCc	Once the issue of illegal Bangladeshi immigrants in my state Assam is resolved. Relationship can improve to new levels. My state is not a rich state and so very less resources. We are suffering because of the illegal migrants.
30	13	https://www.youtube.com/watch?v=0xMW3vvTBCc	😂😂😂, biggest joke Bangladesh as secular, 14% to 3%, and still threatening hindus there
31	14	https://www.youtube.com/watch?v=0xMW3vvTBCc	80% people waiting killer Modi Wallcam bangladesh 👞👞👞👢👢👡👠👠🥿🥿🥿🥿👠🧹🧹🧹🧹🧹🧹
32	15	https://www.youtube.com/watch?v=0xMW3vvTBCc	Any Bangladeshi here...❤️ From India ☺️
33	16	https://www.youtube.com/watch?v=0xMW3vvTBCc	India always friendship with neighborhood...if they understand they get benefit.. otherwise they lose...when India support our neighbors then only they can save from China.... otherwise Chinese ready occupy their lands.....Jai Hind 🇮🇳🇮🇳
34	17	https://www.youtube.com/watch?v=0xMW3vvTBCc	USA - Democracy Europe - Democracy India - Democracy Muslim Nations :- ISLAMIC AUTOCRACY.
35	18	https://www.youtube.com/watch?v=0xMW3vvTBCc	Hope Hasina will not be dead after this.
36	19	https://www.youtube.com/watch?v=0xMW3vvTBCc	Such an influential and strong woman she is, impressive !
37	20	https://www.youtube.com/watch?v=0xMW3vvTBCc	Bangldesh pm wearing cooling glass 😆😆
38	21	https://www.youtube.com/watch?v=0xMW3vvTBCc	Endians end is near 😀😀😀
39	22	https://www.youtube.com/watch?v=0xMW3vvTBCc	If modi had son or daughter The could have followed modis path
40	23	https://www.youtube.com/watch?v=0xMW3vvTBCc	Every Bangladeshi to Pakistan b like 93000 was fantastic 😂😂😂😂🤣
41	24	https://www.youtube.com/watch?v=0xMW3vvTBCc	But Bangladeshi people refuse to welcome him.
42	25	https://www.youtube.com/watch?v=0xMW3vvTBCc	Salute to Field Marshall SM Manekshaw Strategy. Efforts, Dimplomacy of then Prime Minister late Mrs Indira Gandhi. 🇮🇳🤝🇧🇩
43	26	https://www.youtube.com/watch?v=0xMW3vvTBCc	Meanwhile 93,000 noors crying 😂
44	0	https://www.youtube.com/watch?v=vAgwK2gVb6I	Rihanna Tweet Work in India 😄😄😄✌️👍
45	1	https://www.youtube.com/watch?v=vAgwK2gVb6I	Shame on indian democracy
46	2	https://www.youtube.com/watch?v=vAgwK2gVb6I	I am kashmiri pandits of india we are going back to Kashmir bcoz of modi ji thanks to him
47	3	https://www.youtube.com/watch?v=vAgwK2gVb6I	Kashmir will be Pakistan..Insha Allah 🇵🇰🇵🇰🇵🇰🇵🇰
48	4	https://www.youtube.com/watch?v=vAgwK2gVb6I	Using 4G services is quite normal in China, 6G is now even being invented. However, using 4G services is quite a luxury for Kashmiris, quite a sad news to listen from~
49	5	https://www.youtube.com/watch?v=vAgwK2gVb6I	India have 4G?
50	6	https://www.youtube.com/watch?v=vAgwK2gVb6I	When will paxtan restore 4G internet in Balochistan!
51	7	https://www.youtube.com/watch?v=vAgwK2gVb6I	BTW, if there was no internet for the last 18 months, How did the children study? Or more importantly, how did they did work from home?
52	8	https://www.youtube.com/watch?v=vAgwK2gVb6I	What about balochistan?
53	9	https://www.youtube.com/watch?v=vAgwK2gVb6I	Beware J & K civilian, India has installed many monitoring software, so they are monitoring every move you made!!
54	10	https://www.youtube.com/watch?v=vAgwK2gVb6I	India took only 550 days to restore 4G in illegally occupied Kashmir. One day we will achieve Freedom as well Insha Allah..
55	11	https://www.youtube.com/watch?v=vAgwK2gVb6I	And YouTube is Suddenly looking more clear 😂
56	12	https://www.youtube.com/watch?v=vAgwK2gVb6I	I'm from Jammu and Finally I'm able to Use 4G internet
57	13	https://www.youtube.com/watch?v=vAgwK2gVb6I	Mil gya 4G thanks to Modi Govt 🌺
58	14	https://www.youtube.com/watch?v=vAgwK2gVb6I	Khalsatnan wil be free and Yang Lee Zhao wil rool it
59	15	https://www.youtube.com/watch?v=vAgwK2gVb6I	Ban Facebook, Twitter WhatsApp in INDIA🇮🇳🇮🇳. Jai hind!
60	16	https://www.youtube.com/watch?v=vAgwK2gVb6I	Kashmir is part of india..and so are it's people...stop calling them terrorists
61	17	https://www.youtube.com/watch?v=vAgwK2gVb6I	Congratulations jammu and Kashmires
62	18	https://www.youtube.com/watch?v=vAgwK2gVb6I	Now it is time to ban FB ecosystem and Twitter all across India.
