url	comment	scores	type
https://www.youtube.com/watch?v=0xMW3vvTBCc	Any Bangladeshi here...❤️ From India ☺️	[0.001290088170208037, 0.06941891461610794, 0.9292908310890198]	NEWS & POLITICS
https://www.youtube.com/watch?v=vAgwK2gVb6I	Good job	[0.014779414050281048, 0.10833140462636948, 0.8768892288208008]	NEWS & POLITICS
https://www.youtube.com/watch?v=v430BmlLHSM	Good... finally something for farmers to look forward to...	[0.007617627736181021, 0.08851597458124161, 0.9038663506507874]	NEWS & POLITICS
https://www.youtube.com/watch?v=cRBax1RmTgc	Super stoked 🙌	[0.0019875720608979464, 0.023110974580049515, 0.974901556968689]	NEWS & POLITICS
https://www.youtube.com/watch?v=3ZbKAEQZHiE	Love it! I'll be watching every program, Jesse!	[0.001386070973239839, 0.008739939890801907, 0.989874005317688]	NEWS & POLITICS
https://www.youtube.com/watch?v=3ZbKAEQZHiE	Huge congrats, Jesse! This is YOUR time. Go get 'em, tiger. Looking forward to keeping the pressure on the bad actors in our society, you ROCK!	[0.003472366137430072, 0.020975936204195023, 0.9755516648292542]	NEWS & POLITICS
https://www.youtube.com/watch?v=3ZbKAEQZHiE	Congrats, Jesse!!! Can’t wait to watch you every week!	[0.001444728230126202, 0.007457757834345102, 0.9910977482795715]	NEWS & POLITICS
https://www.youtube.com/watch?v=3ZbKAEQZHiE	OK just the introduction to the show is pretty darn exciting. That’s like some of the most awesome action footage I’ve ever seen. Great start. I love Jessie and I love conservatives and I love Trump. Let’s go Brandon	[0.0024532312527298927, 0.007875516079366207, 0.9896712899208069]	NEWS & POLITICS
https://www.youtube.com/watch?v=TbV7RMwCBpE	Thank you Sir for everything you did for our country 🙏.I really appreciate it. 🙏May God truly and beautifully bless you always and forever 🙏.	[0.0014890381135046482, 0.011331645771861076, 0.9871794581413269]	NEWS & POLITICS
https://www.youtube.com/watch?v=TbV7RMwCBpE	I would like to thank ALL of our Service Men & Women from the bottom of my heart to the top. They have gone over & above. I was in tears tonite for our Military loved one's that we lost to the GROSSE INCOMPLETENESS of this PATHETIC ADMIN. Our family sends our deepest sympathy and condolences to our beloved familes who lost their loved ones. God bless ALL. 25TH Amendment must happen!	[0.15060392022132874, 0.32823485136032104, 0.5211612582206726]	NEWS & POLITICS
https://www.youtube.com/watch?v=T46XQHCUgmc	Can't wait until the Seattle and Portland officers and federal agents deployed to those locations get their turn to speak about their experience before a congressional committee. j/k	[0.021081145852804184, 0.34625476598739624, 0.6326640248298645]	NEWS & POLITICS
https://www.youtube.com/watch?v=i9xX9Z0_wb4	Yes!!! Welcome to New Mexico POTUS & First Lady Melania!! I heard the lines are 4 miles long!! ❤️	[0.0014981478452682495, 0.023201560601592064, 0.9753003120422363]	NEWS & POLITICS
https://www.youtube.com/watch?v=i9xX9Z0_wb4	You guys are so lucky to have this great man.. God bless from Australia	[0.0015738261863589287, 0.010132539086043835, 0.9882935881614685]	NEWS & POLITICS
https://www.youtube.com/watch?v=i9xX9Z0_wb4	God bless Trump and lotto 🙏 🙏😇 🙌! Since wearing maga hat I won the lottery seven times! I'm worth 64 million dollars!	[0.0022866246290504932, 0.030219264328479767, 0.9674940705299377]	NEWS & POLITICS
https://www.youtube.com/watch?v=Jdf2Q9novjs	People of Poland are amazing	[0.002383603947237134, 0.015003303997218609, 0.9826129674911499]	NEWS & POLITICS
https://www.youtube.com/watch?v=ZRyyONsrMlM	I'm from Australia and we appreciate all the help from overseas especially the USA and Canada xx Love you guys!	[0.0012819922994822264, 0.010372800752520561, 0.9883451461791992]	NEWS & POLITICS
https://www.youtube.com/watch?v=UbCNS5_Eoko	This is sorta why I want Trump as pres, he's gonna slam that big red button!	[0.09121740609407425, 0.3413780629634857, 0.5674045085906982]	NEWS & POLITICS
https://www.youtube.com/watch?v=RvOeWJTbc84	“Congrats to everyone who is early and who found this comment”!	[0.001072940998710692, 0.03643660247325897, 0.962490439414978]	NEWS & POLITICS
https://www.youtube.com/watch?v=MgEMapBF09U	The Pope is serious about this issue, few years ago he prayed and blessed an electric Formula 1 car.	[0.005288165993988514, 0.1913129687309265, 0.8033990263938904]	NEWS & POLITICS
https://www.youtube.com/watch?v=MgEMapBF09U	I am so excited that the scriptures are being fulfilled. Bible is so correct and true.	[0.0018484418978914618, 0.01078796572983265, 0.9873637557029724]	NEWS & POLITICS
https://www.youtube.com/watch?v=MgEMapBF09U	Pope Francis a Great man	[0.005217726808041334, 0.0919623151421547, 0.9028198719024658]	NEWS & POLITICS
https://www.youtube.com/watch?v=zpBD7QGR_xU	I love how scientist can whip up new jabs in 30secs 😂 I’ve had my 2 jabs that’s all I’m having done to get my passport nothing else is going in my body!!	[0.015451624989509583, 0.09393548220396042, 0.8906128406524658]	NEWS & POLITICS
https://www.youtube.com/watch?v=ZSBFXuPylHg	I love how girls have pink and boys blue kits.😂	[0.0028844361659139395, 0.028672058135271072, 0.9684435129165649]	NEWS & POLITICS
https://www.youtube.com/watch?v=ZSBFXuPylHg	Finally bbc showing something that is good about india.	[0.0032962521072477102, 0.048871126025915146, 0.9478325247764587]	NEWS & POLITICS
https://www.youtube.com/watch?v=ZSBFXuPylHg	Yay	[0.04763072729110718, 0.3404707908630371, 0.6118985414505005]	NEWS & POLITICS
https://www.youtube.com/watch?v=pG7mHUnW06Q	I pray for the souls who have died. I'm hoping those who were injured get better soon. May God have mercy on Beirut! 🙏	[0.05851702392101288, 0.3823148012161255, 0.5591681599617004]	NEWS & POLITICS
https://www.youtube.com/watch?v=pG7mHUnW06Q	Lebonese women are gorgeous.	[0.00289683579467237, 0.022259339690208435, 0.9748436808586121]	NEWS & POLITICS
https://www.youtube.com/watch?v=eQphVD37Jf8	WHITE PEOPLE 🙎🏻‍♀️🙎🏻‍♂️ IN THEIR FINEST MOMENT 👍🏻👍🏼👍🏽	[0.004303512629121542, 0.15941256284713745, 0.836283802986145]	NEWS & POLITICS
https://www.youtube.com/watch?v=LrpKNFCb18c	God Bless Australia fanz!!!	[0.003550912719219923, 0.06084413081407547, 0.935604989528656]	NEWS & POLITICS
https://www.youtube.com/watch?v=9ft01FotXFs	May Allah guide us	[0.008083400316536427, 0.40353548526763916, 0.5883811116218567]	RELIGION
https://www.youtube.com/watch?v=PxKAhMltibk	Jesus is the only way to heaven 🙏	[0.003188247559592128, 0.08045703917741776, 0.9163546562194824]	RELIGION
https://www.youtube.com/watch?v=GKwmbdPgl8c	Pray for me brothers and sisters. Going though hardship 🙏🏻	[0.023643245920538902, 0.43112319707870483, 0.5452336072921753]	RELIGION
https://www.youtube.com/watch?v=GKwmbdPgl8c	I love Allah ❤❤	[0.0022683930583298206, 0.019503934308886528, 0.9782275557518005]	RELIGION
https://www.youtube.com/watch?v=GKwmbdPgl8c	Its one of the best reminders i listened lately	[0.0015439760172739625, 0.015706146135926247, 0.9827499985694885]	RELIGION
